Question,Answer
Radiator Springs changed my life. Who am I?,Lightning McQueen
The number 95 is associated with me. Who am I?,Lightning McQueen
I'm a rusty tow truck. Who am I?,Mater
Lightning McQueen is my best friend. Who am I?,Mater
Towing is my business. Who am I?,Mater
"I may look rough, but I'm loyal. Who am I?",Mater
There's a snake in my boot! Who am I?,Woody
I'm Andy's cowboy toy. Who am I?,Woody
A pull string activates my voice. Who am I?,Woody
I lead the toys through difficult times. Who am I?,Woody
To infinity and beyond! Who am I?,Buzz Lightyear
I thought I was a real space ranger. Who am I?,Buzz Lightyear
Purple and green are part of my suit. Who am I?,Buzz Lightyear
Woody became one of my closest friends. Who am I?,Buzz Lightyear
One of my fins is smaller than the other. Who am I?,Nemo
I got lost in the ocean. Who am I?,Nemo
My father searched far and wide for me. Who am I?,Nemo
I'm a clownfish. Who am I?,Nemo
I keep swimming. Who am I?,Dory
My memory isn't very strong. Who am I?,Dory
I helped search for a missing fish. Who am I?,Dory
I'm a blue tang. Who am I?,Dory
